Date;Maturity;Maturity (year fraction);Strike;Volatility
2019-03;2M;0,16;9,00;1,66
2019-03;3M;0,24;9,00;1,72
2019-03;6M;0,49;9,00;1,93
2019-03;9M;0,73;9,00;2,00
2019-03;1Y;1,00;9,00;2,11
2019-03;2Y;2,00;9,00;2,13
2019-03;3Y;3,00;9,00;2,05
2019-03;4Y;4,00;9,00;2,06
2019-03;5Y;5,00;9,00;1,94
2019-03;6Y;6,00;9,00;1,90
2019-03;7Y;7,00;9,00;1,80
2019-03;8Y;8,00;9,00;1,85
2019-03;9Y;9,00;9,00;1,64
2019-03;10Y;10,00;9,00;1,81
2019-03;1M;0,08;9,50;1,77
2019-03;2M;0,16;9,50;1,84
2019-03;3M;0,24;9,50;1,90
2019-03;6M;0,49;9,50;2,09
2019-03;9M;0,73;9,50;2,16
2019-03;1Y;1,00;9,50;2,26
2019-03;2Y;2,00;9,50;2,26
2019-03;3Y;3,00;9,50;2,17
2019-03;4Y;4,00;9,50;2,17
2019-03;5Y;5,00;9,50;2,04
2019-03;6Y;6,00;9,50;2,00
2019-03;7Y;7,00;9,50;1,88
2019-03;8Y;8,00;9,50;1,93
2019-03;9Y;9,00;9,50;1,72
2019-03;10Y;10,00;9,50;1,88
2019-03;1M;0,08;10,00;1,93
2019-03;2M;0,16;10,00;2,01
2019-03;3M;0,24;10,00;2,07
2019-03;6M;0,49;10,00;2,25
2019-03;9M;0,73;10,00;2,32
2019-03;1Y;1,00;10,00;2,41
2019-03;2Y;2,00;10,00;2,39
2019-03;3Y;3,00;10,00;2,29
2019-03;4Y;4,00;10,00;2,27
2019-03;5Y;5,00;10,00;2,14
2019-03;6Y;6,00;10,00;2,09
2019-03;7Y;7,00;10,00;1,97
2019-03;8Y;8,00;10,00;2,01
2019-03;9Y;9,00;10,00;1,80
2019-03;10Y;10,00;10,00;1,95
2019-03;1M;0,08;10,50;2,08
2019-03;2M;0,16;10,50;2,16
2019-03;3M;0,24;10,50;2,24
2019-03;6M;0,49;10,50;2,41
2019-03;9M;0,73;10,50;2,47
2019-03;1Y;1,00;10,50;2,56
2019-03;2Y;2,00;10,50;2,52
2019-03;3Y;3,00;10,50;2,40
2019-03;4Y;4,00;10,50;2,37
2019-03;5Y;5,00;10,50;2,24
2019-03;6Y;6,00;10,50;2,18
2019-03;7Y;7,00;10,50;2,06
2019-03;8Y;8,00;10,50;2,09
2019-03;9Y;9,00;10,50;1,88
2019-03;10Y;10,00;10,50;2,02
2019-03;1M;0,08;11,00;2,22
2019-03;2M;0,16;11,00;2,30
2019-03;3M;0,24;11,00;2,38
2019-03;6M;0,49;11,00;2,57
2019-03;9M;0,73;11,00;2,63
2019-03;1Y;1,00;11,00;2,71
2019-03;2Y;2,00;11,00;2,65
2019-03;3Y;3,00;11,00;2,52
2019-03;4Y;4,00;11,00;2,47
2019-03;5Y;5,00;11,00;2,33
2019-03;6Y;6,00;11,00;2,27
2019-03;7Y;7,00;11,00;2,14
2019-03;8Y;8,00;11,00;2,17
2019-03;9Y;9,00;11,00;1,96
2019-03;10Y;10,00;11,00;2,09
2019-03;1M;0,08;11,50;2,34
2019-03;2M;0,16;11,50;2,44
2019-03;3M;0,24;11,50;2,51
2019-03;6M;0,49;11,50;2,73
2019-03;9M;0,73;11,50;2,78
2019-03;1Y;1,00;11,50;2,86
2019-03;2Y;2,00;11,50;2,77
2019-03;3Y;3,00;11,50;2,63
2019-03;4Y;4,00;11,50;2,57
2019-03;5Y;5,00;11,50;2,43
2019-03;6Y;6,00;11,50;2,35
2019-03;7Y;7,00;11,50;2,23
2019-03;8Y;8,00;11,50;2,24
2019-03;9Y;9,00;11,50;2,04
2019-03;10Y;10,00;11,50;2,16
2019-03;1M;0,08;12,00;2,46
2019-03;2M;0,16;12,00;2,56
2019-03;3M;0,24;12,00;2,64
2019-03;6M;0,49;12,00;2,88
2019-03;9M;0,73;12,00;2,93
2019-03;1Y;1,00;12,00;3,00
2019-03;2Y;2,00;12,00;2,90
2019-03;3Y;3,00;12,00;2,74
2019-03;4Y;4,00;12,00;2,67
2019-03;5Y;5,00;12,00;2,52
2019-03;6Y;6,00;12,00;2,44
2019-03;7Y;7,00;12,00;2,31
2019-03;8Y;8,00;12,00;2,32
2019-03;9Y;9,00;12,00;2,11
2019-03;10Y;10,00;12,00;2,23
2019-03;1M;0,08;13,00;2,67
2019-03;2M;0,16;13,00;2,78
2019-03;3M;0,24;13,00;2,86
2019-03;6M;0,49;13,00;3,13
2019-03;9M;0,73;13,00;3,21
2019-03;1Y;1,00;13,00;3,27
2019-03;2Y;2,00;13,00;3,13
2019-03;3Y;3,00;13,00;2,95
2019-03;4Y;4,00;13,00;2,86
2019-03;5Y;5,00;13,00;2,70
2019-03;6Y;6,00;13,00;2,61
2019-03;7Y;7,00;13,00;2,48
2019-03;8Y;8,00;13,00;2,47
2019-03;9Y;9,00;13,00;2,27
2019-03;10Y;10,00;13,00;2,37
2019-03;1M;0,08;14,75;3,02
2019-03;2M;0,16;14,75;3,12
2019-03;3M;0,24;14,75;3,19
2019-03;6M;0,49;14,75;3,46
2019-03;9M;0,73;14,75;3,60
2019-03;1Y;1,00;14,75;3,66
2019-03;2Y;2,00;14,75;3,52
2019-03;3Y;3,00;14,75;3,30
2019-03;4Y;4,00;14,75;3,17
2019-03;5Y;5,00;14,75;2,99
2019-03;6Y;6,00;14,75;2,89
2019-03;7Y;7,00;14,75;2,74
2019-03;8Y;8,00;14,75;2,71
2019-03;9Y;9,00;14,75;2,52
2019-03;10Y;10,00;14,75;2,59
2019-03;1M;0,08;15,00;3,06
2019-03;2M;0,16;15,00;3,17
2019-03;3M;0,24;15,00;3,23
2019-03;6M;0,49;15,00;3,50
2019-03;9M;0,73;15,00;3,64
2019-03;1Y;1,00;15,00;3,69
2019-03;2Y;2,00;15,00;3,57
2019-03;3Y;3,00;15,00;3,34
2019-03;4Y;4,00;15,00;3,22
2019-03;5Y;5,00;15,00;3,03
2019-03;6Y;6,00;15,00;2,92
2019-03;7Y;7,00;15,00;2,78
2019-03;8Y;8,00;15,00;2,75
2019-03;9Y;9,00;15,00;2,55
2019-03;10Y;10,00;15,00;2,62
2019-03;1M;0,08;15,25;3,11
2019-03;2M;0,16;15,25;3,21
2019-03;3M;0,24;15,25;3,28
2019-03;6M;0,49;15,25;3,54
2019-03;9M;0,73;15,25;3,69
2019-03;1Y;1,00;15,25;3,73
2019-03;2Y;2,00;15,25;3,62
2019-03;3Y;3,00;15,25;3,39
2019-03;4Y;4,00;15,25;3,26
2019-03;5Y;5,00;15,25;3,07
2019-03;6Y;6,00;15,25;2,96
2019-03;7Y;7,00;15,25;2,82
2019-03;8Y;8,00;15,25;2,78
2019-03;9Y;9,00;15,25;2,59
2019-03;10Y;10,00;15,25;2,65
2019-03;1M;0,08;17,00;3,41
2019-03;2M;0,16;17,00;3,51
2019-03;3M;0,24;17,00;3,57
2019-03;6M;0,49;17,00;3,79
2019-03;9M;0,73;17,00;3,94
2019-03;1Y;1,00;17,00;3,92
2019-03;2Y;2,00;17,00;3,92
2019-03;3Y;3,00;17,00;3,69
2019-03;4Y;4,00;17,00;3,53
2019-03;5Y;5,00;17,00;3,34
2019-03;6Y;6,00;17,00;3,21
2019-03;7Y;7,00;17,00;3,06
2019-03;8Y;8,00;17,00;3,00
2019-03;9Y;9,00;17,00;2,82
2019-03;10Y;10,00;17,00;2,86
