,date,beta0,beta1,beta2,rmse
49,2023-04-30,109.01302213090975,-91.25751098739391,-72.52596592679849,0.31237382692711196
50,2023-05-31,105.99358008394664,-88.13686245840843,-68.77137741966591,0.30687886050118396
51,2023-06-30,110.46423765084343,-92.44606151259289,-74.71558527453355,0.4887140913757198
52,2023-07-31,109.89375847501432,-91.48694702695295,-71.28407991895583,0.3877050560343989
53,2023-08-31,110.85305244607888,-90.15514665176022,-67.97699814999966,0.3955556078200554
54,2023-09-30,111.33727683798242,-88.42281873268591,-63.53138579564198,0.48978910982728396
55,2023-10-31,115.04356072606721,-91.62277939541885,-59.55223036465107,0.2767890358347953
56,2023-11-30,115.81530778419548,-90.456876855441,-65.52741544798077,0.425888344902416
57,2023-12-31,111.43820263349305,-85.47539603354139,-56.82215275206013,0.4682342422713719
58,2024-01-31,109.70348999422993,-83.61660677246223,-54.31815449764115,0.4658378388401934
59,2024-02-29,112.08305594472485,-85.77301292723278,-60.41767955561088,0.2961412396150697
60,2024-03-31,114.01871347304093,-87.7924746158727,-61.37153940411423,0.42867421755994184
61,2024-04-30,117.61832983895803,-91.35136839077965,-65.91428489597553,0.47437329756634466
62,2024-05-31,121.8696246352953,-95.55546885202182,-68.25946904556687,0.3749424637667133
63,2024-06-30,129.43562492437817,-103.10188536264991,-70.0779086199074,0.278376106723156
64,2024-07-31,132.22228292389627,-105.31379012443097,-70.23027973140249,0.3683414161907394
65,2024-08-31,133.15198780718967,-105.2915925097272,-70.62601654468176,0.3833556367554962
66,2024-09-30,135.71005114045468,-106.64289012445253,-74.58217545680327,0.44434823465191287
67,2024-10-31,143.29796349258766,-113.55849978637823,-77.51177588115677,0.39476183830956263
68,2024-11-30,146.8373293159247,-115.79470646002389,-73.36907516573542,0.2547277465507074
69,2024-12-31,147.34045234910417,-115.48423500650745,-73.9478969206839,0.3180591859230666
70,2025-01-31,136.7642000159383,-105.78649462783218,-71.15380330625776,0.3572171004259147
71,2025-02-28,129.65363984762936,-98.60156575589698,-63.515230538981314,0.19251590381295466
72,2025-03-31,124.05192388482956,-92.4927902872938,-61.13947479283836,0.1231425199893217
73,2025-04-30,124.59646819003102,-93.33138065393815,-60.121312847944225,0.311982446380371
74,2025-05-31,128.79354747547941,-97.22620763529588,-72.68058906697534,0.29496878810849586
75,2025-06-30,121.66251598670898,-91.1898346356853,-64.95408838628367,0.21400277195388853
76,2025-07-31,120.61581482740448,-91.0025149896584,-73.36976577896017,0.24039383976465756
77,2025-08-31,118.38754352035416,-89.86342150862357,-75.32938545934014,0.44711887892282665
78,2025-09-30,117.78110813129562,-90.07372796551378,-71.04983666704062,0.44336828702453
