"date","beta0","beta1","beta2","rmse_fit","mae_fit"
2022-09-30,4.16403470604121,3.14218709949543,0.631218370316497,24.8741337344397,20.9161678954598
2022-10-31,4.09769155849722,3.06284815639975,0.631361730080563,24.871872515669,20.8872356245548
2022-11-30,4.04797226283671,3.00219228299511,0.63212485423297,24.900687985176,20.9639667893375
2022-12-31,4.01484394436287,2.96066265896798,0.63257156224752,24.9287530805626,21.0757735065227
2023-01-31,3.99093606533095,2.92853963614387,0.633977729600158,25.0532520322715,21.1743364932802
2023-02-28,3.97870905920018,2.90801811365865,0.635931031855185,25.2809625610049,21.3476758589175
2023-03-31,3.96804298269171,2.8901687002533,0.637860335535082,25.3144137474407,21.3542892372136
2023-04-30,3.95462927772013,2.87188825527792,0.638705750731174,25.2331032227858,21.2478654121237
2023-05-31,3.94554128340857,2.86075610361189,0.638773387721166,25.020175069686,21.2096099063261
2023-06-30,3.94673912885161,2.85649520136594,0.640679311146063,25.4666781158169,21.4844209563411
2023-07-31,3.97279455049598,2.8730887527578,0.645676632100785,26.0397229838768,22.1017848444916
2023-08-31,4.09186453459567,2.96844564667479,0.66090910388915,28.0007824976127,24.3671020056106
2023-09-30,4.2795952317883,3.12157998180477,0.683983307946928,29.9141114092782,26.5140791551015
2023-10-31,4.47868096217991,3.2768117703451,0.712001778544491,31.6773103581034,27.9462067839021
2023-11-30,4.67161909948145,3.43559026755644,0.734827111163601,31.8084908658045,28.4785764730567
2023-12-31,4.84661696160373,3.58101075620958,0.755363739564511,32.0892726322882,28.9175180028334
2024-01-31,4.98103728095162,3.69357746394416,0.770852256036249,31.8826042789323,28.7605213081248
