"date","1W","2W","1M","2M","3M","6M","1Y","2Y"
2020-08-31,5.26728384168531,5.2432969206928,5.18835407673956,5.09123522506541,4.99986627874419,4.75671721340949,4.38298292921375,3.92688629292162
2020-09-30,5.16561784212305,5.14177296803539,5.08715480336917,4.99060751852399,4.89977353102341,4.65803473048777,4.2864287883298,3.83286115720682
2020-10-31,5.1067025320553,5.08284831881592,5.02820888749908,4.93162444000343,4.84075599602968,4.59892794162252,4.22719199665843,3.77347820915331
2020-11-30,5.05731857444898,5.03346113901801,4.97881475251072,4.88221947073941,4.79134255578932,4.54950026537882,4.17776689208545,3.72409876808649
2020-12-31,5.02138648999396,4.99750292115908,4.94279734507272,4.84609973698174,4.75512926558419,4.51305108666371,4.14099364904686,3.68699701492583
2021-01-31,4.99646945671927,4.97254567014497,4.91774849909143,4.8208907869791,4.72977181619741,4.48730870898679,4.11468980269725,3.66006046426503
2021-02-28,4.98778899289058,4.96379252350397,4.90882854474575,4.81167486108641,4.72027612487008,4.47706215911809,4.10327043827029,3.64717730207856
2021-03-31,4.99807879099501,4.97392868944787,4.91861313814522,4.82083912539287,4.72885811051187,4.48410098449784,4.10795613865252,3.64902400122964
2021-04-30,5.03818062950939,5.01375982798848,4.95782404519043,4.85895305790304,4.76593926917311,4.51843015115258,4.1380447457627,3.67391911604301
2021-05-31,5.08326133711985,5.05856870679907,5.00200971091173,4.90203511956397,4.80798071698335,4.55769101005828,4.17299832510143,3.70355819046254
2021-06-30,5.15320964390759,5.12811925109587,5.07064938255469,4.9690654416206,4.87349784358778,4.61918546458103,4.22832209427082,3.75137295585556
2021-07-31,5.24811616890003,5.22251524962693,5.16387624381883,5.06022652183651,4.96271642115751,4.70323939583992,4.30445149813893,3.81785551019121
2021-08-31,5.34519769645536,5.31905863449881,5.25918853084675,5.15336795016243,5.05382173383369,4.78895623779063,4.38197424856995,3.88553194227276
2021-09-30,5.43317705743374,5.40655605682439,5.3455832985771,5.23781789088392,5.13644701843804,4.86675004231754,4.45241318880436,3.94711934807323
2021-10-31,5.53644949965789,5.5092800417832,5.44705208510753,5.33707158837313,5.23362106698396,4.95841049986398,4.53565994771122,4.02020432692678
2021-11-30,5.67196351988613,5.64409867833328,5.58027864462116,5.46748641796197,5.3613935594646,5.07916537216133,4.64566986605366,4.11717358798136
2021-12-31,5.81123472706801,5.78265996239436,5.71721449154978,5.60155137081418,5.49276028304949,5.20336462305208,4.75889055304471,4.21706282514102
2022-01-31,5.96755557466166,5.93818645337504,5.87092229967558,5.75204721887547,5.64023764397495,5.34282521667595,4.88607590666248,4.32934949333805
2022-02-28,6.22320347604121,6.19256284995995,6.12238664168012,5.99836538225063,5.881715803688,5.57143048196931,5.09491603326826,4.51410565897361
2022-03-31,7.25993491588325,7.22397084681568,7.1416125975078,6.99609735947586,6.8592728343006,6.49552263670951,5.93748971606436,5.2583441327264
2022-04-30,7.87919480971304,7.84106310103047,7.75370819795327,7.59925223050423,7.45388837818488,7.06679632358095,6.47106876010394,5.74276194318058
2022-05-31,8.00908768574845,7.97112859584157,7.88413776752398,7.73021786813305,7.5852315818024,7.19853274762831,6.60160932425996,5.86871238338809
2022-06-30,7.84752004190033,7.81102972799919,7.72737591114517,7.5792610294163,7.43962568712872,7.06663412117438,6.48921186783514,5.77738741237524
2022-07-31,7.66178319970172,7.62673866762538,7.54637462773927,7.40399992349461,7.26967652323192,6.91039456564673,6.35278950594297,5.66296652546331
2022-08-31,7.45101013387675,7.41745201347691,7.3404738238252,7.20401944832428,7.07518965727463,6.73015952540849,6.19337808011706,5.5270856425786
2022-09-30,7.27348946646488,7.24118303183157,7.16705600205549,7.03558696851516,6.91138312666665,6.57835357443089,6.05910545566796,5.41262382146067
2022-10-31,7.12884120683628,7.09755068055089,7.02573786312242,6.89831571438989,6.77786750949281,6.45458318842663,5.9495805036415,5.31920798758791
2022-11-30,7.01926484440188,6.98875913126101,6.91873354965626,6.79443486644702,6.67688308246571,6.36110345250505,5.86703773643051,5.24897218728527
2022-12-31,6.94515284850457,6.91518353474576,6.84637954522706,6.72421599638847,6.60864440281101,6.29799675737767,5.81141397483316,5.20177572103248
2023-01-31,6.8895579103607,6.86001670275857,6.79218679778781,6.67172273989313,6.55772367840994,6.2511337453511,5.77041382054498,5.16727991828608
2023-02-28,6.85710149643157,6.8278469134925,6.76066832580742,6.6413376893377,6.52838387038637,6.22447384247368,5.74757378998909,5.14858108055599
2023-03-31,6.82884305494078,6.79984064257595,6.73323490274137,6.61490052291577,6.50286471935772,6.20130478740317,5.72774347321617,5.13234966233305
2023-04-30,6.79739758432289,6.76863935959122,6.70258919181232,6.58522399599406,6.47408482419428,6.17483779548481,5.7046160826316,5.11292314058049
2023-05-31,6.77732310928451,6.74870801955522,6.68298386969463,6.56618864699286,6.45557826436561,6.15770255098957,5.68948298669519,5.10004970302562
2023-06-30,6.77434005009581,6.74580314925291,6.68025552057608,6.56376349097036,6.45342793482244,6.15623333314227,5.68891275103536,5.10031931514529
2023-07-31,6.81683762178826,6.78815082701281,6.72225753019471,6.60514648457124,6.49421912463968,6.19540410289341,5.72545882667511,5.13342921964298
2023-08-31,7.03022057473398,7.00050452886609,6.93225371348668,6.81097549039987,6.69612773260836,6.3868801346085,5.90090026912275,5.28930396697315
2023-09-30,7.36939126671696,7.33800506418309,7.26593010410041,7.13789701424189,7.0166999978125,6.69058332761384,6.17875548522068,5.53575537506458
2023-10-31,7.72205091444817,7.68902929245776,7.61320517081184,7.47853402424617,7.3510790885432,7.00824690151537,6.4705435942749,5.79564787408232
2023-11-30,8.07199658457532,8.03722956328431,7.95741009625149,7.81568539310394,7.68160482827974,7.32119046072635,6.75660891855076,6.04916657002985
2023-12-31,8.39078821159759,8.3544180450832,8.27092922223931,8.12272771408256,7.98256473997417,7.60601676250457,7.0167922532373,6.27954632780829
2024-01-31,8.63651076246186,8.59889455340192,8.51255412612726,8.35932059728119,8.21443363322892,7.8253630534597,7.21703416481198,6.45672340740688
2024-02-29,8.81265130192305,8.77411995277961,8.68568631030754,8.52876284669003,8.3804163264609,7.98219674004748,7.35997453081154,6.58300299525505
2024-03-31,8.95096025250472,8.91174834412921,8.82175643871343,8.66208052941867,8.5111468724058,8.10605379452171,7.47330001368032,6.68353405126849
2024-04-30,9.05963380506337,9.01991710805522,8.92876816195348,8.76704426329179,8.6141806071869,8.20393572731983,7.56321702075827,6.76365032050323
2024-05-31,9.16979436923923,9.12962241608665,9.03742735127416,8.87384283558396,8.71921520206077,8.3042108490265,7.65598457808789,6.84692196595616
2024-06-30,9.31728145633494,9.27658964393079,9.18319525994106,9.0174613909675,8.86077698734127,8.44013194854156,7.78274325865885,6.96164281744495
2024-07-31,9.49127472214344,9.44993156104502,9.35503678128433,9.18662172396597,9.0273806248755,8.59976654798743,7.93117968434578,7.09556746061459
2024-08-31,9.68835797280296,9.64619355673872,9.54941184084309,9.37764137970431,9.21521995583812,8.77902872426472,8.0969234403971,7.2442313625321
2024-09-30,9.90919691278219,9.8660395966444,9.76698043159341,9.59117336398609,9.42494145384967,8.97854776700673,8.28057799039957,7.40820748964591
2024-10-31,10.1728113460142,10.1285369528922,10.0269122163518,9.84654657852117,9.67599817962383,9.21798339213191,8.50175638789525,7.60641841239467
2024-11-30,10.5198356982316,10.4740693658376,10.3690190291663,10.1825698201334,10.0062645756477,9.53276841613326,8.79227057830763,7.86648688985957
2024-12-31,10.8308843128501,10.783742274743,10.675535182172,10.4834865697525,10.3018905374237,9.81420418929723,9.05157004060169,8.09820624037484
2025-01-31,10.9173957198215,10.869801246274,10.7605593970179,10.5666870739935,10.383381625931,9.89117671876613,9.12168706991319,8.16011312203827
2025-02-28,10.9703091020372,10.922358112133,10.8123040987227,10.6170114354339,10.4323877460873,9.93676163974549,9.16226915144991,8.19503460139252
2025-03-31,11.0023041281647,10.9540102926545,10.8431793773121,10.6465422586718,10.4606877058827,9.96195004827356,9.18315769062441,8.21151522863257
2025-04-30,11.0203356094479,10.9718407549362,10.8605543942108,10.6631293607342,10.4765537633001,9.97599483361613,9.19469025810596,8.22048136664267
2025-05-31,11.0028733410346,10.9543245038472,10.8429209169993,10.6453107168587,10.4585869166269,9.95775903024706,9.17641031143746,8.20278970347547
2025-06-30,10.903811261932,10.8556063509299,10.7449965955369,10.5488103891625,10.3634507950237,9.86637159475353,9.09113304451725,8.12557471118511
2025-07-31,10.7015395703748,10.6541362850566,10.5453708044617,10.3524724874159,10.1702390121984,9.68163763650099,8.91989706839952,7.97162361402123
2025-08-31,10.4435714951841,10.3972567707172,10.290991944539,10.1025388213166,9.92451679047545,9.44726478695847,8.7033867847805,7.77763916840564
2025-09-30,10.2250945826849,10.1797639441024,10.0757564413455,9.89130456747675,9.71706001599937,9.2499238698338,8.52178090270365,7.61556006668567
